Id,Prediction,True
0001,7,7
0002,1,1
0003,5,5
0004,6,6
0005,0,0
0006,7,7
0007,9,9
0008,8,8
0009,7,7
0010,9,9
0011,5,5
0012,4,4
0013,6,6
0014,5,5
0015,6,6
0016,1,1
0017,9,9
0018,1,1
0019,2,2
0020,0,0
0021,6,6
0022,5,5
0023,4,4
0024,0,0
0025,2,2
0026,3,3
0027,0,0
0028,3,3
0029,5,5
0030,0,0
0031,0,0
0032,6,6
0033,9,9
0034,2,2
0035,9,9
0036,2,2
0037,4,4
0038,9,9
0039,2,2
0040,7,7
0041,1,1
0042,6,6
0043,7,7
0044,0,0
0045,4,4
0046,8,8
0047,8,8
0048,2,2
0049,6,6
0050,4,4
0051,6,6
0052,5,5
0053,2,2
0054,5,5
0055,6,6
0056,2,2
0057,4,4
0058,7,7
0059,0,0
0060,4,4
0061,4,4
0062,2,2
0063,7,7
0064,0,0
0065,3,3
0066,1,1
0067,7,7
0068,3,3
0069,9,9
0070,2,2
0071,1,1
0072,7,7
0073,2,2
0074,1,1
0075,0,0
0076,8,8
0077,4,4
0078,0,0
0079,7,7
0080,6,6
0081,7,7
0082,8,8
0083,4,4
0084,2,2
0085,8,8
0086,5,5
0087,4,4
0088,7,7
0089,6,6
0090,2,2
0091,9,9
0092,8,8
0093,6,6
0094,8,8
0095,8,8
0096,3,3
0097,6,6
0098,9,9
0099,2,2
0100,2,2
0101,0,0
0102,8,8
0103,5,5
0104,7,7
0105,0,0
0106,5,5
0107,6,6
0108,9,9
0109,2,2
0110,4,4
0111,8,8
0112,3,3
0113,6,6
0114,1,1
0115,6,6
0116,1,1
0117,5,5
0118,5,5
0119,9,9
0120,8,8
0121,7,7
0122,0,0
0123,5,5
0124,5,5
0125,8,8
0126,1,1
0127,6,6
0128,5,5
0129,6,6
0130,4,4
0131,9,9
0132,6,6
0133,3,3
0134,6,6
0135,4,4
0136,2,2
0137,2,2
0138,6,6
0139,9,9
0140,1,1
0141,9,9
0142,0,0
0143,7,7
0144,4,4
0145,9,9
0146,5,5
0147,9,9
0148,0,0
0149,4,4
0150,8,8
0151,2,2
0152,8,8
0153,4,4
0154,4,4
0155,0,0
0156,9,9
0157,2,2
0158,9,9
0159,9,9
0160,8,8
0161,4,4
0162,6,6
0163,3,3
0164,7,7
0165,1,1
0166,4,4
0167,0,0
0168,3,3
0169,6,6
0170,3,3
0171,4,4
0172,8,8
0173,7,7
0174,0,0
0175,5,5
0176,3,3
0177,4,4
0178,4,4
0179,4,4
0180,2,2
0181,5,5
0182,1,1
0183,8,8
0184,5,5
0185,7,7
0186,7,7
0187,2,2
0188,9,9
0189,0,0
0190,1,1
0191,4,4
0192,8,8
0193,6,6
0194,6,6
0195,8,8
0196,6,6
0197,5,5
0198,1,1
0199,1,1
0200,8,8
0201,2,2
0202,7,7
0203,5,5
0204,7,7
0205,1,1
0206,5,5
0207,0,0
0208,5,5
0209,9,9
0210,8,8
0211,0,0
0212,8,8
0213,7,7
0214,2,2
0215,3,3
0216,2,2
0217,5,5
0218,6,6
0219,3,3
0220,3,3
0221,5,5
0222,7,7
0223,9,9
0224,5,5
0225,8,8
0226,3,3
0227,4,4
0228,7,7
0229,5,5
0230,1,1
0231,1,1
0232,7,7
0233,0,0
0234,8,8
0235,5,5
0236,1,1
0237,9,9
0238,5,5
0239,1,1
0240,2,2
0241,8,8
0242,2,2
0243,0,0
0244,0,0
0245,1,1
0246,4,4
0247,9,9
0248,4,4
0249,7,7
0250,2,2
0251,9,9
0252,1,1
0253,7,7
0254,0,0
0255,8,8
0256,6,6
0257,1,1
0258,1,1
0259,0,0
0260,1,1
0261,3,3
0262,0,0
0263,9,9
0264,9,9
0265,8,8
0266,6,6
0267,7,7
0268,5,5
0269,5,5
0270,9,9
0271,4,4
0272,1,1
0273,5,5
0274,5,5
0275,9,9
0276,0,0
0277,1,1
0278,8,8
0279,3,3
0280,0,0
0281,2,2
0282,2,2
0283,7,7
0284,8,8
0285,2,2
0286,9,9
0287,5,5
0288,7,7
0289,5,5
0290,0,0
0291,9,9
0292,7,7
0293,8,8
0294,9,9
0295,9,9
0296,7,7
0297,8,8
0298,2,2
0299,5,5
0300,2,2
0301,3,3
0302,1,1
0303,5,5
0304,1,1
0305,5,5
0306,3,3
0307,2,2
0308,6,6
0309,6,6
0310,1,1
0311,4,4
0312,5,5
0313,3,3
